ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ENDERECO,BAIRRO,CEP,ES_TIPO,ES_DEPADM
336,-46704058,-23750529,355030830000161,3550308005284,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO ICARAI,RUA  MICHEL ANGELO PRUNETTI / MIGUEL ARQUERONS,JARDIM ICARAÍ,04844-260,12,1
337,-46703302,-23749383,355030830000659,3550308005284,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO INTERNACIONAL,RUA  JOSÉ FLAVIANO COSTA / ACÁCIO DE PAULA FERREIRA,JD.ICARAÍ,04844-240,12,1
338,-46704032,-23727868,355030823000246,3550308005286,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO JARDIM IPORANGA,RUA  ÁLVARES CORREIA / GREGÓRIO TORRES,JD. PRESIDENTE,04830-110,12,1
339,-46686233,-23730140,355030823000081,3550308005218,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO CLUBE BANDEIRANTE VETERANO,"AVENIDA  PAULO COSTA RIBEIRO BASTOS, 50",SÍTIO DAS PALMEIRAS,04814-720,12,1
340,-46682493,-23729848,355030823000113,3550308005218,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO REAL SOCIEDADE DOS MORADORES E DA JUVENTUDE,"RUA  DANIEL RIBEIRO CALADO, 1100",SÍTIO FIGUEIRAS DO RIO BONITO,04814-670,12,1
341,-46672301,-23754408,355030830000063,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO DO ARISTOCRATA,"RUA  BELMIRA  MARIN, 4400",GRAJAÚ,04846-000,12,1
342,-46777335,-23703039,355030843000009,3550308005291,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,CAMPO PARQUE BOULOGNE,"RUA           ANTIGO CONTINENTE, AO LADO Nº 65",PARQUE BOLOGNE,04947-080,12,1
343,-46784425,-23695629,355030843000044,3550308005293,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,CAMPO PARQUE NOVA SANTO AMARO,RUA  FRANCISCA QUEIROS / COELHO LOUSADA,PARQUE NOVA SANTO AMARO,05875-270,12,1
344,-46789752,-23683020,355030819000342,3550308005295,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO PARQUE INDEPENDÊNCIA,RUA  GARCIA DE HÓRTA / BERNARDO GOMES DE BRITO,PQ. INDEPENDÊNCIA,05880-290,12,1
345,-46791992,-23678792,355030819000289,3550308005295,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO CONJUNTO HABITACIONAL,RUA  TAJAL / IDADE MÉDIA,COHAB HAB JDIM S BENTO,05886-400,12,1
346,-46791084,-23669928,355030819000335,3550308005297,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO PARQUE FERNANDA - GAROTOS DO PARQUE F.C.,PRAÇA DOUTOR RAUL BORGES DA ROCHA / SEBASTIÃO MEIRA BARROS,PARQUE FERNANDA,05889-290,12,1
347,-46772765,-23672595,355030819000316,3550308005232,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO CAPÃO REDONDO,"RUA PROFESSOR ANTONIO AUSTREGÉSILO, 500 / SANTANA",CAPÃO REDONDO,05867-000,12,1
348,-46761508,-23662746,355030819000380,3550308005231,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO DO CAJU,RUA DOUTOR BENEDITO MATARAZZO / CRISTÓVÃO DE FIGUEIREDO,PARQUE MARIA HELENA,05854-090,12,1
